TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.082448,0,0
2,2.252563,0,0
3,3.757354,0,0
4,3.832112,0,0
5,3.808384,0,0
6,4.075143,0,0
7,3.75891,0,0
8,3.891745,0,0
9,3.85043,0,0
10,3.869309,0,0
11,3.549504,1,0.24
12,3.455122,1,1.279999
13,3.292048,2,1.369999
14,2.975061,5,2.109999
15,2.90185,6,2.219999
16,2.932221,6,3.239998
17,3.108861,5,2.051999
18,3.068335,5,3.071998
19,2.929666,7,2.181666
20,2.674108,8,2.174445
21,2.597586,9,3.127779
22,2.323617,11,3.290835
23,2.217813,13,3.860001
24,2.154364,14,5.791001
25,2.379303,16,4.998503
26,2.264067,17,5.956978
27,2.199304,18,6.800574
28,2.163621,19,7.572252
29,2.369236,16,7.666288
30,2.644471,8,6.546698
31,2.690799,8,7.591153
32,2.518537,10,8.029217
33,2.409039,12,5.76697
34,2.079782,14,5.938144
35,15.49315,16,6.005396
36,11.36583,15,7.7979
37,1.990915,15,8.892907
38,2.593256,13,8.380877
39,2.6162,14,7.425671
40,2.751592,8,15.04011
41,2.437052,14,8.3159
42,2.343295,16,8.779905
43,2.302747,15,9.04558
44,2.618405,9,5.184008
45,2.504736,11,5.353345
46,2.501782,11,6.373352
47,2.515254,11,7.373358
48,2.333297,14,6.736697
49,2.185733,16,7.077816
50,2.172571,19,6.91915
51,2.595024,9,18.0725
52,2.752071,8,9.098726
53,2.62822,10,9.119712
54,8.537313,10,9.720079
55,2.505775,11,7.966726
56,2.379718,12,7.619845
57,2.313492,14,7.14435

